maxk,avgk,avgp,sigmak,sigmap,top10,top100,top1000,sup1000,histp20,histp40,histp60,histp80,histp100,histp_bound0,histp_bound5,histent20,histent40,histent60,histent80,histent100,histent_bound0,histent_bound5
6824.0,170.01324503311258,0.17805847682119208,740.0031410954899,0.283067933759452,91.0,41.0,15.0,4.0,112.0,10.0,13.0,4.0,12.0,0.0,0.19929,10.0,8.0,28.0,60.0,45.0,0.018006675216501962,0.3683544847717497
21795.0,543.6559139784946,0.15994559139784947,2434.733910499902,0.2817180023236932,48.0,19.0,19.0,7.0,70.0,9.0,5.0,1.0,8.0,0.0,0.19907,6.0,4.0,24.0,38.0,21.0,0.02635558827353346,0.36463537144195435
28548.0,1144.4912280701753,0.12186982456140352,4092.500017137927,0.22828914183315113,25.0,12.0,10.0,10.0,44.0,8.0,0.0,3.0,2.0,0.0,0.190694,4.0,9.0,19.0,13.0,12.0,0.19121932382736867,0.49100839033024785
2739.0,114.88888888888889,0.0837191111111111,409.7954081529097,0.1618173165822389,25.0,12.0,7.0,1.0,38.0,3.0,2.0,1.0,1.0,4e-05,0.16423000000000001,4.0,2.0,8.0,19.0,12.0,0.41990759329247435,0.6804915876238824
20177.0,881.3939393939394,0.17292590909090907,2943.449248955278,0.2984184026231853,29.0,18.0,9.0,10.0,49.0,7.0,2.0,1.0,7.0,0.0,0.1994,6.0,7.0,20.0,26.0,7.0,0.011756861130660691,0.3783681661370926
3419.0,169.0943396226415,0.22144358490566035,538.8532290158334,0.32699492649168027,34.0,9.0,8.0,2.0,38.0,3.0,2.0,3.0,7.0,3e-05,0.19981000000000002,5.0,5.0,16.0,18.0,9.0,0.007654926101303768,0.3744442685213202
8697.0,363.4225352112676,0.15291704225352112,1283.433792736203,0.24591955026209464,39.0,18.0,8.0,6.0,54.0,6.0,6.0,2.0,3.0,0.0,0.19998,2.0,2.0,21.0,31.0,15.0,0.0010993795674278967,0.37295935023130844
3333.0,182.3148148148148,0.15637203703703706,508.20023117439297,0.26708719458037194,29.0,13.0,10.0,2.0,42.0,4.0,3.0,1.0,4.0,1e-05,0.19656200000000001,2.0,4.0,13.0,20.0,15.0,0.08897056240705942,0.42038624911099093
2512.0,176.03636363636363,0.22778981818181818,534.7625118987226,0.3290754003595302,37.0,7.0,7.0,4.0,38.0,4.0,3.0,3.0,7.0,0.0,0.199848,5.0,7.0,10.0,19.0,14.0,0.006220291513170102,0.39372237618283634
1731.0,116.11538461538461,0.28804480769230767,354.2766549250065,0.38679760485939285,35.0,9.0,5.0,3.0,34.0,5.0,0.0,1.0,12.0,2e-05,0.19999799999999998,10.0,6.0,6.0,17.0,13.0,0.0009917016800814057,0.3582763491090107
1631.0,64.75308641975309,0.2203504938271605,238.6877980953568,0.31602023461899564,55.0,17.0,7.0,2.0,57.0,7.0,5.0,3.0,9.0,2e-05,0.19955799999999999,8.0,5.0,27.0,34.0,7.0,0.014833473039532877,0.4019667005900534
1552.0,100.675,0.3273955,301.3699045608237,0.37983547895733755,25.0,9.0,4.0,2.0,24.0,1.0,4.0,3.0,8.0,0.0,0.199998,8.0,4.0,9.0,15.0,4.0,0.00015290414840691567,0.38757676198687036
5769.0,290.1730769230769,0.30747673076923077,1059.6044929986097,0.3876084915107449,34.0,9.0,5.0,4.0,32.0,4.0,2.0,2.0,12.0,0.0,0.19991799999999998,8.0,8.0,10.0,15.0,11.0,0.003178028517595451,0.35744584396059653
2272.0,153.64285714285714,0.21501228571428577,425.2399334733371,0.28505127688175397,46.0,11.0,9.0,4.0,45.0,10.0,6.0,4.0,5.0,1e-05,0.199696,5.0,4.0,12.0,34.0,15.0,0.009922091574266921,0.3723058213905567
19357.0,958.3953488372093,0.10420372093023254,3249.724647652438,0.20330691151526456,18.0,12.0,7.0,6.0,35.0,1.0,2.0,3.0,2.0,0.0,0.160802,4.0,10.0,10.0,13.0,6.0,0.16742541968938943,0.5044932454662288
5369.0,375.12068965517244,0.17430931034482755,1128.0281250710234,0.3060940904580118,31.0,13.0,9.0,5.0,44.0,5.0,1.0,1.0,7.0,1e-05,0.19990400000000003,5.0,5.0,17.0,18.0,13.0,0.0031222727761709,0.35232303358572054
3034.0,190.32,0.13215359999999998,548.5100341835143,0.2502409466128728,41.0,22.0,6.0,6.0,63.0,2.0,5.0,1.0,4.0,1e-05,0.1996,4.0,11.0,14.0,30.0,16.0,0.008203189152548045,0.40993708403601653
4920.0,316.9718309859155,0.22157774647887327,960.3611405785155,0.2921367948733355,48.0,8.0,9.0,6.0,46.0,9.0,5.0,6.0,5.0,1e-05,0.19865600000000003,6.0,10.0,19.0,23.0,13.0,0.038411092072833844,0.3927820151208484
20549.0,962.6417910447761,0.1433144776119403,3420.3842836450044,0.249132956940029,36.0,14.0,10.0,7.0,51.0,8.0,3.0,0.0,5.0,0.0,0.194506,3.0,11.0,17.0,24.0,12.0,0.1078671327337441,0.4551820228751069
4818.0,180.8,0.18121906666666665,679.0687741311627,0.28444084590027185,47.0,15.0,11.0,2.0,54.0,9.0,2.0,5.0,5.0,1e-05,0.19976400000000002,5.0,7.0,17.0,33.0,13.0,0.009317577987863939,0.3746790785324071
8841.0,301.859649122807,0.13006736842105263,1183.9414168561066,0.25601349704363907,24.0,20.0,10.0,3.0,46.0,5.0,1.0,0.0,5.0,0.0,0.19156800000000002,3.0,3.0,6.0,24.0,21.0,0.14088249567064434,0.44311475593097094
9856.0,444.4022988505747,0.18384022988505744,1532.1584088728466,0.30948531185311645,54.0,19.0,6.0,8.0,69.0,4.0,2.0,2.0,10.0,0.0,0.19961199999999998,9.0,8.0,26.0,31.0,13.0,0.01450838915505746,0.3822698966080146
11843.0,393.3157894736842,0.08141561403508772,1613.0878763316757,0.16779558645908801,27.0,18.0,7.0,5.0,49.0,5.0,0.0,1.0,2.0,0.0,0.168578,3.0,10.0,16.0,18.0,10.0,0.524045632816267,0.7645915791288932
4880.0,121.95588235294117,0.19011411764705885,604.729167231656,0.2909974098188509,49.0,12.0,6.0,1.0,52.0,4.0,1.0,6.0,5.0,1e-05,0.19957400000000003,5.0,4.0,11.0,26.0,22.0,0.01528824604583135,0.3515746450372896
8200.0,197.8,0.13105483333333334,1061.3801832205713,0.19148177614324616,36.0,16.0,6.0,2.0,43.0,11.0,3.0,2.0,1.0,0.0,0.17735,3.0,4.0,19.0,19.0,15.0,0.3545174949513452,0.6651637846535657
1544.0,65.87301587301587,0.2661796825396825,219.9137992785508,0.33626904735085034,46.0,9.0,7.0,1.0,38.0,8.0,4.0,4.0,9.0,2e-05,0.19999599999999998,7.0,6.0,6.0,22.0,22.0,0.0010049233720858311,0.36658347827800913
23329.0,601.12,0.12338880000000002,3260.1457429998436,0.23390148600331723,27.0,11.0,9.0,3.0,40.0,4.0,2.0,2.0,2.0,0.0,0.199844,2.0,7.0,8.0,12.0,21.0,0.006898780952731798,0.363192892129922
6407.0,308.1904761904762,0.20560404761904758,1046.1700384894925,0.3214936919921752,47.0,15.0,17.0,5.0,60.0,7.0,5.0,2.0,10.0,1e-05,0.19990200000000002,9.0,3.0,26.0,25.0,21.0,0.004619502928322346,0.338839504434693
7660.0,237.48275862068965,0.27093534482758624,1051.4701078175115,0.32744145180904044,40.0,8.0,8.0,2.0,33.0,7.0,7.0,4.0,7.0,0.0,0.2,6.0,2.0,16.0,18.0,16.0,2.106473982307492e-05,0.3626989686509859
6630.0,253.9848484848485,0.19005878787878788,936.4548475973701,0.30835581279815294,36.0,21.0,4.0,5.0,48.0,5.0,4.0,3.0,6.0,1e-05,0.19970800000000002,6.0,5.0,13.0,29.0,13.0,0.007949867325461633,0.36659982068398156
5603.0,231.39583333333334,0.26247791666666664,862.5815357495036,0.35270138223289266,32.0,9.0,4.0,3.0,32.0,3.0,4.0,2.0,7.0,2e-05,0.199824,8.0,4.0,9.0,15.0,12.0,0.0046618812951004455,0.3624995266366049
2141.0,86.66129032258064,0.23745870967741933,320.3997474702192,0.2862866051224343,44.0,11.0,5.0,2.0,38.0,7.0,8.0,4.0,5.0,0.0,0.18866,4.0,3.0,10.0,27.0,18.0,0.21240657472407984,0.5206844217827131
1115.0,65.77777777777777,0.3197792592592592,205.35620964437902,0.37994988767454024,39.0,9.0,4.0,2.0,32.0,5.0,0.0,6.0,11.0,9e-05,0.200052,8.0,8.0,13.0,12.0,13.0,0.0008874787308446183,0.37038171833267153
11002.0,374.43589743589746,0.17128461538461537,1540.4386370799746,0.25331506715030766,55.0,13.0,5.0,5.0,55.0,11.0,5.0,2.0,5.0,0.0,0.19826,5.0,10.0,12.0,32.0,19.0,0.05036305819125105,0.4152692026522936
1981.0,94.15853658536585,0.23368060975609756,305.2746252431908,0.33589886419382453,56.0,16.0,8.0,2.0,56.0,9.0,2.0,3.0,12.0,1e-05,0.19981400000000002,10.0,9.0,15.0,19.0,29.0,0.005790311966260553,0.37879036568282093
14504.0,433.68831168831167,0.13913779220779224,1797.8915808848515,0.2562191677067125,43.0,19.0,9.0,6.0,59.0,8.0,4.0,1.0,5.0,0.0,0.19958599999999999,4.0,6.0,12.0,29.0,26.0,0.015184083023889874,0.36528847620324834
7330.0,219.7462686567164,0.23920253731343283,972.9271013676356,0.3280139660402323,45.0,13.0,6.0,3.0,43.0,9.0,3.0,4.0,8.0,0.0,0.199994,7.0,6.0,11.0,25.0,18.0,0.0002553363764043343,0.356992457251965
4546.0,200.63541666666666,0.20777458333333332,622.7316523423175,0.31957570784008765,61.0,15.0,14.0,6.0,67.0,12.0,3.0,2.0,12.0,1e-05,0.19974000000000003,11.0,8.0,29.0,33.0,15.0,0.010608439604538052,0.3769497257704147
1268.0,50.75,0.27390611111111113,180.10203512330324,0.3651774186822511,54.0,12.0,5.0,1.0,47.0,6.0,5.0,1.0,13.0,1e-05,0.20000600000000002,13.0,4.0,8.0,27.0,20.0,6.541960093012439e-05,0.36985723660798536
997.0,49.86746987951807,0.3537997590361446,140.7806780181039,0.3759088917206412,61.0,10.0,12.0,0.0,43.0,6.0,11.0,5.0,18.0,8e-05,0.20006200000000002,14.0,6.0,10.0,35.0,18.0,0.00017884518604199305,0.3518295018634852
6836.0,336.9491525423729,0.17995898305084748,1173.39889360619,0.28038261809742987,36.0,10.0,9.0,4.0,42.0,7.0,4.0,2.0,4.0,0.0,0.199488,3.0,3.0,18.0,27.0,8.0,0.016774248809124107,0.3804974445019531
3361.0,303.9795918367347,0.11940673469387753,648.6449766289383,0.24166014690383408,23.0,12.0,8.0,6.0,42.0,2.0,2.0,0.0,3.0,1e-05,0.19974400000000003,4.0,4.0,15.0,15.0,11.0,0.0071215163099499134,0.36847879447402304
9947.0,273.67123287671234,0.1698441095890411,1248.3323786270294,0.2561317156594882,45.0,17.0,7.0,4.0,53.0,8.0,2.0,6.0,4.0,0.0,0.1907,6.0,11.0,15.0,33.0,8.0,0.21067132447558948,0.5408828871779408
