id,label
0,0.9870486
1,0.0016162624
2,0.98703724
3,0.98703665
4,0.0016192122
5,0.0016792675
6,0.9869811
7,0.9870116
8,0.001939523
9,0.98704195
10,0.0016152206
11,0.9870962
12,0.0016900429
13,0.0016435382
14,0.9870046
15,0.0016158771
16,0.001639447
17,0.001671752
18,0.002090823
19,0.0016805524
20,0.98484993
21,0.0016837609
22,0.98678106
23,0.12536454
24,0.9869865
25,0.0016708027
26,0.9867384
27,0.0016162809
28,0.0016915926
29,0.0016154202
30,0.98697966
31,0.0018453489
32,0.001616637
33,0.98705816
34,0.12706198
35,0.00164769
36,0.0016889619
37,0.0016146909
38,0.001672195
39,0.97530574
40,0.9865097
41,0.98700416
42,0.9771066
43,0.001688866
44,0.98702615
45,0.987012
46,0.9215467
47,0.4995802
48,0.0016791425
49,0.14690499
50,0.0020012218
51,0.93439895
52,0.98698807
53,0.0016111991
54,0.0016644173
55,0.10793668
56,0.0023520514
57,0.97999716
58,0.98708296
59,0.0016250086
60,0.94120646
61,0.9869777
62,0.0016347086
63,0.0030160386
64,0.93357223
65,0.9870213
66,0.0016776323
67,0.987012
68,0.9864708
69,0.49877286
70,0.92371666
71,0.9870064
72,0.9281372
73,0.9865505
74,0.98699516
75,0.9870769
76,0.98684955
77,0.001634926
78,0.0016157476
79,0.98706555
80,0.0016640602
81,0.0016578194
82,0.9870295
83,0.98693824
84,0.0016844803
85,0.0016345222
86,0.98697984
87,0.93929535
88,0.001625328
89,0.0016453151
90,0.001673908
91,0.001623372
92,0.98711425
93,0.98677593
94,0.9870658
95,0.0016137848
96,0.003196765
97,0.08555778
98,0.98705846
99,0.9866282
100,0.98704064
101,0.98705655
102,0.98699516
103,0.0016779484
104,0.9597515
105,0.98700076
106,0.9870215
107,0.0034308715
108,0.9870077
109,0.98700035
110,0.9869768
111,0.0016155258
112,0.98705
113,0.0020177304
114,0.50658375
115,0.98630005
116,0.9870196
117,0.92069006
118,0.0016411731
119,0.0016753068
120,0.0016823988
121,0.0016583916
122,0.0016963145
123,0.98689556
124,0.98500544
125,0.93244004
126,0.0016196361
127,0.9427196
128,0.986982
129,0.005882437
130,0.0053231446
131,0.9870418
132,0.9847045
133,0.0016381372
134,0.0016168188
135,0.0021635324
136,0.93055356
137,0.007360634
138,0.9871081
139,0.98704284
140,0.98568255
141,0.001631637
142,0.0016790689
143,0.0016447408
144,0.9870831
145,0.9869683
146,0.98699564
147,0.9870654
148,0.49859813
149,0.0016453479
150,0.9869841
151,0.0016060476
152,0.97198504
153,0.9178974
154,0.0016155426
155,0.5085713
156,0.0016142767
157,0.9870409
158,0.0016455613
159,0.98711026
160,0.0016155764
161,0.9871155
162,0.015342439
163,0.98572105
164,0.9791067
165,0.0019995966
166,0.0016113496
167,0.0016207879
168,0.9567593
169,0.98699594
170,0.001634951
171,0.018248914
172,0.98700553
173,0.987054
174,0.0016985525
175,0.98698014
176,0.0016368934
177,0.0016463101
178,0.0016173949
179,0.0026753207
180,0.98628145
181,0.0016748771
182,0.00226079
183,0.004325901
184,0.98703665
185,0.0016151045
186,0.0021438855
187,0.987006
188,0.9869836
189,0.0016438084
190,0.002848816
191,0.0018918441
192,0.17792107
193,0.0016455889
194,0.001614684
195,0.9870846
196,0.0016167348
197,0.9163442
198,0.9868491
199,0.0016404315
200,0.22947702
201,0.9870737
202,0.9869469
203,0.9426642
204,0.98705256
205,0.98700273
206,0.98698294
207,0.0016761282
208,0.98704016
209,0.9869961
210,0.9870649
211,0.93747807
212,0.0016173917
213,0.9870787
214,0.98699474
215,0.9870067
216,0.0016876447
217,0.9869648
218,0.0016749826
219,0.9870246
220,0.0019189839
221,0.0016861744
222,0.0016757415
223,0.9870693
224,0.5133795
225,0.98576546
226,0.001616623
227,0.0026904675
228,0.0016371385
229,0.0016678923
230,0.98709786
231,0.0016248289
232,0.016591964
233,0.002212155
234,0.0016783868
235,0.0016208837
236,0.07269315
237,0.9149857
238,0.0021032381
239,0.9870971
240,0.037089664
241,0.5019531
242,0.9686593
243,0.009629754
244,0.92794955
245,0.9614266
246,0.0016484938
247,0.9870145
248,0.0016147163
249,0.98705596
250,0.9870064
251,0.9870649
252,0.0016147663
253,0.9772924
254,0.9870705
255,0.9857887
256,0.0016150635
257,0.98698837
258,0.0016847678
259,0.9870309
260,0.9823495
261,0.98700947
262,0.0016760387
263,0.0016209657
264,0.0016356916
265,0.49877822
266,0.9870834
267,0.98698837
268,0.9870354
269,0.9870192
270,0.9869973
271,0.0016806966
272,0.98703027
273,0.0016175654
