rouge_1_r,rouge_1_p,rouge_1_f,rouge_2_r,rouge_2_p,rouge_2_f,rouge_l_r,rouge_l_p,rouge_l_f
0.1731123388581952,0.94,0.2923794686019316,0.10469667318982387,0.7697841726618705,0.1843238566346544,0.1712707182320442,0.93,0.2892690486952442
0.17328519855595667,0.7741935483870968,0.2831858377191288,0.09090909090909091,0.6197183098591549,0.1585585563273111,0.16967509025270758,0.7580645161290323,0.2772861327043796
0.1510791366906475,0.8571428571428571,0.25688073139709533,0.06753812636165578,0.6078431372549019,0.12156862565098042,0.1510791366906475,0.8571428571428571,0.25688073139709533
0.06426735218508997,0.6944444444444444,0.1176470572729135,0.014962593516209476,0.3,0.028503562040385715,0.06426735218508997,0.6944444444444444,0.1176470572729135
0.1702127659574468,0.631578947368421,0.2681564212365407,0.06751054852320675,0.36363636363636365,0.11387900091741499,0.1702127659574468,0.631578947368421,0.2681564212365407
0.12167300380228137,0.9411764705882353,0.21548821346075803,0.06756756756756757,0.7692307692307693,0.12422360099996144,0.12167300380228137,0.9411764705882353,0.21548821346075803
0.08318264014466546,0.8679245283018868,0.15181517992195756,0.019197207678883072,0.38596491228070173,0.03657522769244804,0.081374321880651,0.8490566037735849,0.14851484988895425
0.07039337474120083,0.8292682926829268,0.12977099092397007,0.022364217252396165,0.44680851063829785,0.042596347976478016,0.06625258799171843,0.7804878048780488,0.12213740313771052
0.29545454545454547,1.0,0.45614034735610964,0.18025751072961374,0.8936170212765957,0.2999999972063776,0.29545454545454547,1.0,0.45614034735610964
0.17088607594936708,0.84375,0.28421052351468146,0.06140350877192982,0.4375,0.10769230553372787,0.17088607594936708,0.84375,0.28421052351468146
0.14028776978417265,0.7647058823529411,0.2370820642495912,0.06167400881057269,0.5,0.10980391961368706,0.14028776978417265,0.7647058823529411,0.2370820642495912
0.07079646017699115,0.7741935483870968,0.1297297281944485,0.02023608768971332,0.375,0.038399999028428826,0.06489675516224189,0.7096774193548387,0.1189189173836377
0.14163090128755365,1.0,0.24812029857849516,0.0821529745042493,0.8055555555555556,0.1491002553898005,0.14163090128755365,1.0,0.24812029857849516
0.1226158038147139,0.9782608695652174,0.21791767356530206,0.06701708278580815,0.85,0.12423873189731781,0.1226158038147139,0.9782608695652174,0.21791767356530206
0.0898876404494382,0.5333333333333333,0.15384615137758878,0.01171875,0.08108108108108109,0.02047781349299375,0.08426966292134831,0.5,0.14423076676220417
0.07339449541284404,0.6857142857142857,0.1325966833361314,0.02800658978583196,0.425,0.05255023067922575,0.07339449541284404,0.6857142857142857,0.1325966833361314
